Date,Open,High,Low,Close,Adj Close,Volume
2020-03-06,88.180000,89.889999,87.029999,89.400002,85.408302,2564200
2020-03-09,84.309998,87.290001,83.000000,83.699997,79.962799,3776600
2020-03-10,86.080002,87.019997,83.400002,86.779999,82.905281,3464100
2020-03-11,83.910004,84.099998,79.370003,80.970001,77.354713,2783100
2020-03-12,75.580002,82.339996,74.610001,78.449997,74.947212,5272000
2020-03-13,81.779999,82.250000,75.860001,78.459999,74.956779,3754400
2020-03-16,70.949997,71.989998,67.080002,69.830002,66.712112,4975500
2020-03-17,71.300003,71.900002,60.950001,65.489998,62.565884,6169800
2020-03-18,61.970001,62.730000,57.930000,60.689999,57.980202,5693200
2020-03-19,59.480000,66.690002,57.160000,62.599998,59.804920,4564500
2020-03-20,64.040001,64.940002,57.709999,58.080002,55.486740,4407700
2020-03-23,57.240002,58.209999,54.950001,56.520000,53.996395,4522900
2020-03-24,61.950001,70.169998,61.580002,69.660004,66.549706,5277100
2020-03-25,70.410004,76.430000,65.669998,72.870003,69.616364,5180800
2020-03-26,74.139999,76.190002,71.790001,75.750000,72.367775,4876400
2020-03-27,72.239998,72.629997,68.050003,68.529999,65.470146,4000000
2020-03-30,68.120003,72.000000,68.000000,70.669998,67.514587,4274600
2020-03-31,70.129997,71.930000,68.070000,68.529999,65.470146,3796100
2020-04-01,65.000000,68.180000,64.250000,67.650002,64.629440,3316500
2020-04-02,67.309998,68.940002,64.550003,66.050003,63.100876,3399700
2020-04-03,65.709999,66.089996,62.160000,63.299999,60.473663,2631400
2020-04-06,66.550003,71.180000,66.470001,70.500000,67.352180,3683700
2020-04-07,73.989998,75.500000,70.000000,71.349998,68.164230,3908500
2020-04-08,72.220001,75.660004,70.860001,75.370003,72.004753,3682000
2020-04-09,77.589996,82.099998,77.000000,80.370003,76.781487,4199600
2020-04-13,79.779999,80.129997,75.169998,77.059998,73.619278,2014500
2020-04-14,78.300003,80.410004,77.389999,79.889999,76.322922,2502800
2020-04-15,77.190002,78.480003,76.480003,77.639999,74.173386,1907600
2020-04-16,77.580002,80.190002,76.699997,80.110001,76.533112,2376700
2020-04-17,83.139999,84.970001,82.089996,84.169998,80.411812,3326300
2020-04-20,82.809998,84.129997,81.599998,82.070000,78.405594,1827500
2020-04-21,80.089996,81.769997,79.900002,81.199997,77.574432,2768700
2020-04-22,83.000000,87.470001,82.699997,86.790001,82.914841,2923000
2020-04-23,86.680000,87.339996,84.550003,85.610001,81.787537,2108900
